date,1. open,2. high,3. low,4. close,5. volume
2023-09-22,1.141,1.141,1.14,1.14,583.0
2023-09-21,1.2,1.2,1.14,1.1435,1525.0
2023-09-20,1.15,1.17,1.15,1.16,2562.0
2023-09-19,1.18,1.18,1.13,1.13,1016.0
2023-09-18,1.143,1.16,1.13,1.13,4261.0
2023-09-15,1.21,1.21,1.13,1.13,1259.0
2023-09-14,1.13,1.1858,1.13,1.1404,5271.0
2023-09-13,1.16,1.1714,1.16,1.16,983.0
2023-09-12,1.16,1.16,1.16,1.16,508.0
2023-09-11,1.18,1.21,1.12,1.12,9890.0
2023-09-08,1.18,1.2,1.18,1.18,10722.0
2023-09-07,1.18,1.2,1.18,1.19,2445.0
2023-09-06,1.2324,1.2324,1.21,1.21,962.0
2023-09-05,1.26,1.26,1.2,1.23,2781.0
2023-09-01,1.3,1.3,1.23,1.26,2867.0
2023-08-31,1.24,1.266,1.24,1.24,2262.0
2023-08-30,1.27,1.32,1.2401,1.26,6187.0
2023-08-29,1.22,1.2499,1.2199,1.24,4516.0
2023-08-28,1.1901,1.2299,1.1901,1.21,1998.0
2023-08-25,1.2276,1.23,1.2276,1.23,1138.0
2023-08-24,1.27,1.28,1.21,1.21,7827.0
2023-08-23,1.26,1.26,1.18,1.21,9422.0
2023-08-22,1.24,1.24,1.21,1.2297,1747.0
2023-08-21,1.27,1.28,1.21,1.21,10671.0
2023-08-18,1.31,1.31,1.22,1.25,8705.0
2023-08-17,1.2356,1.2999,1.21,1.269,8209.0
2023-08-16,1.1801,1.22,1.18,1.21,6559.0
2023-08-15,1.2301,1.24,1.18,1.18,14666.0
2023-08-14,1.2966,1.3085,1.22,1.2894,6279.0
2023-08-11,1.275,1.33,1.23,1.2901,9180.0
2023-08-10,1.26,1.305,1.25,1.25,7715.0
2023-08-09,1.1999,1.33,1.1801,1.25,31214.0
2023-08-08,1.25,1.2899,1.1198,1.2198,23398.0
2023-08-07,1.31,1.32,1.28,1.29,4771.0
2023-08-04,1.36,1.3718,1.32,1.32,2885.0
2023-08-03,1.33,1.3499,1.32,1.32,3321.0
2023-08-02,1.335,1.36,1.31,1.36,8479.0
2023-08-01,1.36,1.39,1.3,1.39,2955.0
2023-07-31,1.29,1.3899,1.29,1.33,16987.0
2023-07-28,1.3899,1.4145,1.3244,1.37,5909.0
2023-07-27,1.34,1.3699,1.3219,1.35,4556.0
2023-07-26,1.33,1.3899,1.3201,1.3446,6982.0
2023-07-25,1.44,1.44,1.31,1.38,16225.0
2023-07-24,1.3801,1.4199,1.35,1.3837,11839.0
2023-07-21,1.4383,1.44,1.385,1.3899,6293.0
2023-07-20,1.42,1.42,1.4,1.4,3007.0
2023-07-19,1.41,1.45,1.41,1.44,8148.0
2023-07-18,1.46,1.506,1.44,1.44,6895.0
2023-07-17,1.44,1.4634,1.44,1.4401,2093.0
2023-07-14,1.47,1.5499,1.47,1.48,4119.0
2023-07-13,1.42,1.6199,1.42,1.51,22233.0
2023-07-12,1.38,1.54,1.38,1.52,18002.0
2023-07-11,1.39,1.4201,1.39,1.395,4444.0
2023-07-10,1.35,1.41,1.35,1.41,3205.0
2023-07-07,1.37,1.44,1.3402,1.38,8266.0
2023-07-06,1.4,1.42,1.3601,1.3677,3656.0
2023-07-05,1.5,1.5,1.38,1.41,5528.0
2023-07-03,1.41,1.48,1.41,1.41,2240.0
2023-06-30,1.46,1.49,1.43,1.43,17443.0
2023-06-29,1.46,1.46,1.43,1.44,2213.0
2023-06-28,1.4,1.45,1.39,1.4,4800.0
2023-06-27,1.35,1.3998,1.35,1.39,4084.0
2023-06-26,1.3501,1.39,1.3501,1.37,2978.0
2023-06-23,1.37,1.41,1.35,1.36,6728.0
2023-06-22,1.361,1.4099,1.361,1.4,2190.0
2023-06-21,1.44,1.4473,1.4,1.4,9499.0
2023-06-20,1.44,1.4498,1.4001,1.4498,9640.0
2023-06-16,1.42,1.44,1.37,1.41,7495.0
2023-06-15,1.3101,1.3999,1.31,1.38,13479.0
2023-06-14,1.29,1.3599,1.29,1.315,14657.0
2023-06-13,1.26,1.3,1.25,1.29,16934.0
2023-06-12,1.27,1.337,1.26,1.26,10420.0
